num views,num rows,num channels,batch size,peak memory (GB),avail memory (GB),elapsed time0 (sec),elapsed time1 (sec)
250,500,1250,250,6.870,10.026,59.9,59.9
250,500,1250,500,6.870,10.026,51.9,51.9
250,500,1250,800,6.870,10.026,54.6,54.6
250,800,50,100,1.258,10.026,11.9,11.9
250,800,50,250,3.500,10.026,4.5,4.5
250,800,50,500,3.500,10.026,2.9,2.9
250,800,50,800,3.500,10.026,2.7,2.7
250,800,100,100,1.976,10.026,14.7,14.7
250,800,100,250,5.130,10.026,5.9,5.9
250,800,100,500,5.130,10.026,1.6,1.6
250,800,100,800,5.130,10.026,1.8,1.8
250,800,250,100,2.934,10.026,15.5,15.5
250,800,250,250,5.921,10.026,7.7,7.7
250,800,250,500,5.921,10.026,3.5,3.5
250,800,250,800,5.921,10.026,3.7,3.7
250,800,500,100,4.335,10.026,24.6,24.6
250,800,500,250,7.052,10.026,15.5,15.5
250,800,500,500,7.052,10.026,11.8,11.8
250,800,500,800,7.052,10.026,11.5,11.5
250,800,800,100,5.804,10.026,56.7,56.7
250,800,800,250,7.743,10.026,50.5,50.5
250,800,800,500,7.743,10.026,44.8,44.8
250,800,800,800,7.743,10.026,43.2,43.2
250,800,1250,100,8.601,10.026,110.9,110.9
250,1250,50,100,1.812,10.026,12.3,12.3
250,1250,50,250,5.045,10.026,5.4,5.4
250,1250,50,500,5.045,10.026,3.5,3.5
250,1250,50,800,5.045,10.026,3.4,3.4
250,1250,100,100,2.866,10.026,15.9,15.9
250,1250,100,250,5.485,10.026,7.1,7.1
250,1250,100,500,5.485,10.026,2.1,2.1
250,1250,100,800,5.485,10.026,2.4,2.4
250,1250,250,100,4.376,10.026,17.6,17.6
250,1250,250,250,6.741,10.026,10.5,10.5
250,1250,250,500,6.741,10.026,5.4,5.4
250,1250,250,800,6.741,10.026,5.7,5.7
250,1250,500,100,6.599,10.026,31.5,31.5
250,1250,500,250,9.568,10.026,23.5,23.5
250,1250,500,500,9.568,10.026,18.5,18.5
250,1250,500,800,9.568,10.026,18.3,18.3
250,1250,800,100,8.703,10.026,72.3,72.3
500,50,50,100,0.206,10.026,8.3,8.3
500,50,50,250,0.402,10.026,4.5,4.5
500,50,50,500,0.975,10.026,4.5,4.5
500,50,50,800,0.975,10.026,3.1,3.1
500,50,100,100,0.254,10.026,10.8,10.8
500,50,100,250,0.653,10.026,6.0,6.0
500,50,100,500,1.324,10.026,5.9,5.9
500,50,100,800,1.324,10.026,1.6,1.6
500,50,250,100,0.379,10.026,9.8,9.8
500,50,250,250,0.604,10.026,6.1,6.1
500,50,250,500,1.234,10.026,5.8,5.8
500,50,250,800,1.234,10.026,1.8,1.8
500,50,500,100,0.489,10.026,11.0,11.0
500,50,500,250,0.734,10.026,6.3,6.3
500,50,500,500,1.424,10.026,6.8,6.8
500,50,500,800,1.424,10.026,2.8,2.8
500,50,800,100,0.673,10.026,14.6,14.6
500,50,800,250,0.916,10.026,11.1,11.1
500,50,800,500,1.632,10.026,12.0,12.0
500,50,800,800,1.632,10.026,6.3,6.3
500,50,1250,100,0.877,10.026,20.3,20.3
500,50,1250,250,1.154,10.026,16.5,16.5
500,50,1250,500,1.903,10.026,18.3,18.3
500,50,1250,800,1.903,10.026,10.9,10.9
500,100,50,100,0.333,10.026,8.7,8.7
500,100,50,250,0.989,10.026,5.1,5.1
500,100,50,500,1.938,10.026,4.5,4.5
500,100,50,800,1.938,10.026,3.1,3.1
500,100,100,100,0.500,10.026,11.2,11.2
500,100,100,250,1.348,10.026,6.5,6.5
500,100,100,500,1.963,10.026,5.4,5.4
500,100,100,800,1.963,10.026,1.6,1.6
500,100,250,100,0.567,10.026,9.5,9.5
500,100,250,250,1.392,10.026,6.4,6.4
500,100,250,500,2.256,10.026,5.8,5.8
500,100,250,800,2.256,10.026,1.9,1.9
500,100,500,100,0.967,10.026,11.8,11.8
500,100,500,250,1.902,10.026,8.1,8.1
500,100,500,500,2.628,10.026,7.5,7.5
500,100,500,800,2.628,10.026,3.6,3.6
500,100,800,100,1.223,10.026,18.5,18.5
500,100,800,250,2.013,10.026,15.3,15.3
500,100,800,500,2.640,10.026,13.3,13.3
500,100,800,800,2.640,10.026,8.3,8.3
500,100,1250,100,1.681,10.026,29.3,29.3
500,100,1250,250,2.617,10.026,26.1,26.1
500,100,1250,500,3.136,10.026,24.0,24.0
500,100,1250,800,3.136,10.026,17.4,17.4
500,250,50,100,0.471,10.026,8.9,8.9
500,250,50,250,1.051,10.026,4.9,4.9
500,250,50,500,2.002,10.026,4.2,4.2
500,250,50,800,2.002,10.026,3.1,3.1
500,250,100,100,0.775,10.026,10.8,10.8
500,250,100,250,1.602,10.026,6.0,6.0
500,250,100,500,2.925,10.026,5.6,5.6
500,250,100,800,2.925,10.026,1.8,1.8
500,250,250,100,1.208,10.026,10.1,10.1
500,250,250,250,2.067,10.026,6.8,6.8
500,250,250,500,3.315,10.026,6.5,6.5
500,250,250,800,3.315,10.026,2.6,2.6
500,250,500,100,2.142,10.026,14.7,14.7
500,250,500,250,2.900,10.026,10.5,10.5
500,250,500,500,3.815,10.026,10.1,10.1
500,250,500,800,3.815,10.026,6.2,6.2
500,250,800,100,2.758,10.026,24.7,24.7
500,250,800,250,3.611,10.026,21.8,21.8
500,250,800,500,4.717,10.026,21.5,21.5
500,250,800,800,4.717,10.026,16.3,16.3
500,250,1250,100,4.029,10.026,48.2,48.2
500,250,1250,250,4.780,10.026,44.9,44.9
500,250,1250,500,5.374,10.026,46.1,46.1
500,250,1250,800,5.374,10.026,38.5,38.5
500,500,50,100,0.943,10.026,8.7,8.7
500,500,50,250,2.102,10.026,4.7,4.7
500,500,50,500,4.004,10.026,4.1,4.1
500,500,50,800,4.004,10.026,3.1,3.1
500,500,100,100,1.549,10.026,10.9,10.9
500,500,100,250,3.205,10.026,6.1,6.1
500,500,100,500,5.851,10.026,5.6,5.6
500,500,100,800,5.851,10.026,1.9,1.9
500,500,250,100,2.417,10.026,11.3,11.3
500,500,250,250,4.133,10.026,7.9,7.9
500,500,250,500,6.629,10.026,7.6,7.6
500,500,250,800,6.629,10.026,3.7,3.7
500,500,500,100,4.285,10.026,19.6,19.6
500,500,500,250,5.797,10.026,15.3,15.3
500,500,500,500,6.944,10.026,15.9,15.9
500,500,500,800,6.944,10.026,11.3,11.3
500,500,800,100,5.235,10.026,38.4,38.4
500,500,800,250,7.062,10.026,35.9,35.9
500,500,800,500,8.742,10.026,36.8,36.8
500,500,800,800,8.742,10.026,27.7,27.7
500,800,50,100,1.615,10.026,8.9,8.9
